Date,Component,Type,Event,Event ID
2025-02-11 04:10:18,sflib,STATUS,Downloading configuration data from: https://publicsuffix.org/list/effective_tld_names.dat,1
2025-02-11 04:10:21,sflib,STATUS,Scan [06CE3E7A] for '18.235.237.96' initiated.,2
2025-02-11 04:10:21,sflib,STATUS,sfp__stor_db module loaded.,3
2025-02-11 04:10:21,sflib,STATUS,sfp_abstractapi module loaded.,4
2025-02-11 04:10:21,sflib,STATUS,sfp_abusech module loaded.,5
2025-02-11 04:10:21,sflib,STATUS,sfp_abuseipdb module loaded.,6
2025-02-11 04:10:21,sflib,STATUS,sfp_abusix module loaded.,7
2025-02-11 04:10:22,sflib,STATUS,"Fetching (GET): https://raw.githubusercontent.com/WebBreacher/WhatsMyName/master/web_accounts_list.json (proxy=None, user-agent=SpiderFoot, timeout=30, cookies=None)",8
2025-02-11 04:10:27,sflib,STATUS,Fetched https://raw.githubusercontent.com/WebBreacher/WhatsMyName/master/web_accounts_list.json (14 bytes in 5.521978855133057s),9
2025-02-11 04:10:27,sfp_accounts,ERROR,Unable to parse social media accounts list: Extra data: line 1 column 4 (char 3),10
2025-02-11 04:10:27,sflib,STATUS,sfp_accounts module loaded.,11
2025-02-11 04:10:27,sflib,STATUS,sfp_adblock module loaded.,12
2025-02-11 04:10:28,sflib,STATUS,sfp_adguard_dns module loaded.,13
2025-02-11 04:10:28,sflib,STATUS,sfp_ahmia module loaded.,14
2025-02-11 04:10:28,sflib,STATUS,sfp_alienvault module loaded.,15
2025-02-11 04:10:28,sflib,STATUS,sfp_alienvaultiprep module loaded.,16
2025-02-11 04:10:28,sflib,STATUS,sfp_apple_itunes module loaded.,17
2025-02-11 04:10:28,sflib,STATUS,sfp_archiveorg module loaded.,18
2025-02-11 04:10:28,sflib,STATUS,sfp_arin module loaded.,19
2025-02-11 04:10:28,sflib,STATUS,sfp_azureblobstorage module loaded.,20
2025-02-11 04:10:28,sflib,STATUS,sfp_badpackets module loaded.,21
2025-02-11 04:10:28,sflib,STATUS,sfp_base64 module loaded.,22
2025-02-11 04:10:28,sflib,STATUS,sfp_bgpview module loaded.,23
2025-02-11 04:10:28,sflib,STATUS,sfp_binaryedge module loaded.,24
2025-02-11 04:10:28,sflib,STATUS,sfp_bingsearch module loaded.,25
2025-02-11 04:10:28,sflib,STATUS,sfp_bingsharedip module loaded.,26
